2020-06-11 17:24:28(21154531),No:1,Group:A,ItemCode:52181   ,Trans:R,Time:1591865396,Dath:9,TrDa:0x1985609730,
2020-06-11 17:24:28(21154531),No:2,Group:A,ItemCode:52181   ,Trans:F,Time:1591865396,Dath:38,TrDa:0x1985609730,
2020-06-11 17:24:28(21154531),No:3,Group:A,ItemCode:52181   ,Trans:f,Time:1591865396,Dath:55,TrDa:0x1985609730,
2020-06-11 17:24:28(21154531),No:4,Group:A,ItemCode:52181   ,Trans:O,Time:1591865396,Dath:4,TrDa:0x1985609730,
2020-06-11 17:24:28(21154531),No:5,Group:A,ItemCode:52181   ,Trans:R,Time:1591865396,Dath:17,TrDa:0x1985609730,
2020-06-11 17:24:28(21154531),No:6,Group:A,ItemCode:52181   ,Trans:C,Time:1591865396,Dath:4,TrDa:0x1985609730,
2020-06-11 17:24:28(21154531),No:7,Group:A,ItemCode:52181   ,Trans:H,Time:1591865396,Dath:4,TrDa:0x1985609730,
2020-06-11 17:24:28(21154531),No:8,Group:A,ItemCode:52181   ,Trans:G,Time:1591865396,Dath:4,TrDa:0x1985609730,
2020-06-11 17:24:28(21154531),No:9,Group:A,ItemCode:52181   ,Trans:L,Time:1591865396,Dath:4,TrDa:0x1985609730,
2020-06-11 17:24:28(21154531),No:10,Group:A,ItemCode:52181   ,Trans:B,Time:1591865396,Dath:4,TrDa:0x1985609730,
2020-06-11 17:24:28(21154531),No:11,Group:A,ItemCode:52181   ,Trans:A,Time:1591865396,Dath:4,TrDa:0x1985609730,
